arquivo,Data_pedido,Numero_pedido,Distribuidor,Item,Valor
PEDIDO 31935 DISTRIB D&G.pdf,10/01/2024,31935,06132 - LUIZ GUSTAVO DI GIORGIO SAMPAIO,"BONIFICAÇÃO 1% = AVENTAL TH + FLACONETE SENSAÇÕES
*ENVIADO CATALOGO COMERCIAL, CONFORME SOLICITAÇÃO DO
DISTRIBUIDOR*
***GUSTAVO RETIRA NA COSMETIC","121,60"
PEDIDO 31940 DISTRIB D CLASSE PROD VETERINARIOS.pdf,10/01/2024,31940,10546 - D CLASSE PRODUTOS VETERINARIOS LTDA,"BONIFICAÇÃO 1% = SACHES
*ENVIADO 10 CALENDARIOS 2024
TRANSPORTADORA TRANSOLIVEIRA","143,00"
PEDIDO 31943 DISTRIB TJ.pdf,10/01/2024,31943,10578 - TJ DISTRIBUIDORA PET LTDA,"BONIFICAÇÃO 1% = AVENTAL + CANETAS
**ENVIANDO 13 FRASCOS APLICADORES PARA AS COLONIAS DA
LECCATO 500ML QUE JARBAS NÃO TINHA DAS COMPRAS DE 2023 +
4 FRASCOS DESSE PEDIDO AGORA 31941.
TRANSPORTADORA GRITSCH","65,70"
PEDIDO 31944 PARCERIA COM GROOMER MARCELO GRANDMAISON.pdf,11/01/2024,31944,10634 - MAISON GROOMER CENTRO DE ESTETICA COM REPR DE ACES PET LTDA,"PEDIDO REF A PARCERIA DE R$ 1.800,00 COM GROOMER MARCELO
GRANDMAISON, REF AO MES DE JANEIRO 2024
TRANSPORTADORA GRITSCH","1.786,50"
PEDIDO 31945 CLIENTE VETERINARIA LUSO BRASILEIRO.pdf,11/01/2024,31945,10753 - VETERINARIA LUSO BRASILEIRO LTDA,"BONIFICAÇÃO DO PEDIDO DE COMPRA 31917
TRANSPORTADORA TRANSOLIVEIRA","50,50"
PEDIDO 31953 CLIENTE LERIEL GAIO - CAROL TREVILLE.pdf,12/01/2024,31953,"10241 - LERIEL GAIO - COMERCIO, IMPORTACAO E EXPORTACAO DE PROD PET","FOI ENVIADO COM O ULTIMO PEDIDO, ESSA BONIFICAÇÃO QUE SR
MAURO AUTORIZOU, SÃO PERFUMES DAS FRAGANCIAS NOVAS
PARA CAROL-TREVILLE, FAZER TRABALHOS DE PROPAGANDA.
MANDAMOS EM 1 CAIXA DENTRO DO PEDIDO COM NF 22982. A/C
CAROL TREVILLE","162,50"
PEDIDO 31960 DISTRIB DREWS.pdf,15/01/2024,31960,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + 1 PISSETA PARA COMPLETAR 1%
**MARCIO VEM RETIRAR NA COSMETIC","93,75"
PEDIDO 31974 DISTRIB D&G.pdf,17/01/2024,31974,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = FLACONETES + AVENTAL TH
......Retirada Gustavo","23,90"
PEDIDO 31992 DISTRIB DREWS.pdf,19/01/2024,31992,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL TH
*BONIFICADO 1 FLACONETE PERFUME NOVO SEVENTEEN
TRANSPORTADORA GRITSCH","124,30"
PEDIDO 31994 DISTRIB TJ.pdf,19/01/2024,31994,10578 - TJ DISTRIBUIDORA PET LTDA,"BONIFICAÇÃO 1% = AVENTAL + CANETAS
*BONIFICADO 2 FLACONETES NOVO PERFUME SEVENTEEN
TRANSPORTADORA GRITSCH","159,10"
PEDIDO 31995 DISTRIB MILAPET.pdf,19/01/2024,31995,09339 - MILAPET DISTRIBUIDORA DE PRODUTOS PET LTDA,"BONIFICAÇÃO 1% = AMOSTRAS + AVENTAL TH
TRANSPORTADORA GRITSCH","97,00"
PEDIDO 31998 DISTRIB STYLO PET.pdf,19/01/2024,31998,08214 - STYLO PET DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAL LECCATO + PISSETA PARA
COMPLETAR 1%
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 4
TRANSPORTADORA GRITSCH","103,15"
PEDIDO 32003 DISTRIB STYLO PET.pdf,22/01/2024,32003,08214 - STYLO PET DISTRIBUIDORA LTDA,"BONIFICAÇÃO 1% = AVENTAIS TH
TRANSPORTADORA GRITSCH","102,00"
PEDIDO 32006 DISTRIB D&G.pdf,23/01/2024,32006,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = FLACONETES E AVENTAL
TRANSPORTADORA GRITSCH","50,10"
PEDIDO 32010 DISTRIB FELIPE PINHEIRO RANGEL.pdf,23/01/2024,32010,09008 - FELIPE PINHEIRO CARVALHO RANGEL,"BONIFICAÇÃO 1% = AVENTAL TH + AMOSTRAS PARA COMPLETAR
1%
TRANSPORTADORA GRITSCH","105,60"
PEDIDO 32013 DISTRIB TJ.pdf,24/01/2024,32013,10578 - TJ DISTRIBUIDORA PET LTDA,"BONIFICAÇÃO 1% = AVENTAL
**REPOSIÇÃO SOMENTE NA CAIXA (FISICO) 2 NEUTRALIZADOR DE
ODORES 300ML QUE FOI FATURADO NO PEDIDO ANTERIOR MAS NAO
FOI MANDADO NO FISICO**
TRANSPORTADORA GRITSCH","104,40"
PEDIDO 32014 DISTRIB DISMEV.pdf,24/01/2024,32014,10579 - DISMEV - DISTRIBUIDORA DE MEDICAMENTOS VETERINARIOS LTDA,"BONIFICAÇÃO DE MATERIAL DE APOIO DISPONIBILIZADO PELA
BEMFARMA P DISTRIBUIDORES
TRANSPORTADORA ATUAL","587,00"
PEDIDO 32017 DISTRIB DREWS.pdf,25/01/2024,32017,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL TH
SOLICITAÇÃO DO DISTRIBUIDOR: TABELA DE CONSUMO
**ENVIADO 1 FLACONETE PERFUME NOVO PARA VENDEDORA
VANESSA**
**REPOSIÇÃO DE PRODUTO(RECLAMAÇÃO DE CLIENTE): 1 UND
HIDRATANTE DE PATINHAS, AUTORIZADO PELO SR MAURO/LUIZ","88,80"
PEDIDO 32048 DISTRIB DREWS.pdf,31/01/2024,32048,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = AVENTAL TH
TRANSPORTADORA GRITSCH","51,00"
PEDIDO 32049 DISTRIB D&G PARCERIA.pdf,01/02/2024,32049,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"Cod 01, porém sem valor a ser pago pela D&G (vide nota a
seguir);
Entrega Express;
Nota: Este pedido refere-se à bonificação devida pela Bemfarma
pela plotagem de 3 ambientes: D&G, Agropecuaria Cardel e
Banho e Tosa do Lar, com valor total já desembolsado pela D&G
de R$2.499,00, a serem divididos igualmente entre D&G e
Bemfarma.
**TRANSPORTADORA GRITSCH","627,65"
PEDIDO 32101 DISTRIB D&G.pdf,13/02/2024,32101,09788 - D&G DISTRIBUIÇÃO E COMERCIO DE COSMETICOS PET LTDA,"BONIFICAÇÃO 1% = AVENTAL TH + FLACONETES CONFORME
SOLICITADO
ENVIADO + 50 CALENDARIOS 2024
****GUSTAVO/DUARTE RETIRAM NA COSMETIC","631,70"
PEDIDO 32107 DISTRIB DREWS.pdf,15/02/2024,32107,08265 - DREWS COMERCIO E DISTRIBUIÇÃO LTDA,"BONIFICAÇÃO 1% = SACHES FILHOTES TH E FLACONETES
CONFORME SOLICITADO
BONIFICAÇÃO 10/1 DISPLAY LENÇO = 2
TRANSPORTADORA GRITSCH","65,20"
